Level,count,mean,std,min,25%,50%,75%,max
Character_Level,2.0,1.1557697059407963e-05,2.912508579193743e-06,9.49824249279607e-06,1.0527969776102017e-05,1.1557697059407963e-05,1.258742434271391e-05,1.3617151626019856e-05
Grammar_Level,3.0,3.34664500330018e-06,7.800218433429613e-06,-1.7659533089221935e-06,-1.1424005354886014e-06,-5.188477620550095e-07,5.902944159411367e-06,1.2324736080877744e-05
Morphology_Level,4.0,-1.2048419030717563e-07,9.506055993481278e-06,-9.791983896677505e-06,-7.390170227049033e-06,-1.4519770621506404e-07,7.124488330526793e-06,9.60044254787893e-06
Semantic_Level,4.0,3.9976676730477326e-08,5.588081381928058e-06,-5.668779998384106e-06,-3.799517190786259e-06,-5.05028279269988e-07,3.3344655882467484e-06,6.838743263845991e-06
Stylistic_Level,5.0,-1.675886464474686e-07,5.9542211703908126e-06,-8.37287367814072e-06,-2.1162268925481e-06,3.575911358628152e-07,1.1787187230302307e-06,8.11484747955843e-06
Syntax_Level,4.0,-4.170587658902494e-06,7.878930134475378e-06,-1.1336928880998841e-05,-8.9009545740575e-06,-6.053198121135997e-06,-1.3228312059809902e-06,6.760974487660858e-06
