,Lambda
count,22.0
mean,-2.1896993106829074e-06
std,5.279377940970796e-06
min,-1.3437916992590002e-05
25%,-4.5330469020063796e-06
50%,-1.6980834149984266e-06
75%,-1.2281487978877062e-07
max,1.1286525687683473e-05
